Species,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Family,Discrete,m1_opcr,m2_opcr,m1_dne,m2_dne,RFI_m1,RFI_m2,RLGA,log_cuberoot_mass,large_mammal,small_mammal,bird,herptile,fish,egg,carrion,hard_invert,soft_invert,seed,fruit,root,plant,hopkins_pineda,hopkins_van_valk,pineda,pantheria,mass_kg,phylo,m1_tooth_length,class3,class4,class5,class6
Cynictis_penicillata,-1.7479008565610543,0.9279566438649917,0.8923776880005556,0.06838384289831546,0.6207310584888097,-0.0819571272278867,0.5836639196263014,1.1968325041464063,0.3158059877517457,0.25764916066514104,0.08250668509896612,0.8646953064766487,-0.8535255433108495,Herpestidae,Insectivore,-0.3803088864307143,0.026201980893443402,0.98763753095766,1.308988314817031,0.9710047859196731,1.329724861230406,0.40074651833989067,-1.5413508779276952,1,3,3,3,1,2,2,4,4,2,2,1,2,Hypocarnivore-Invertivorous,Hypocarnivore,NA,Carnivore,0.6944100005680482,Cynictis_penicillata,NA,1,2,5,5
Helogale_parvula,-1.506342457982754,-1.4110067140076952,1.7009215308098564,0.9307342659708124,1.3771016690247848,-0.13883566658252813,0.19374044034722104,0.6516130841725482,0.4869967108736537,-0.4765967954578191,-0.16523957946355314,0.36653568907896455,-0.44011564429832345,Herpestidae,Insectivore,-0.3504928593476953,0.05892425299769044,0.6095548223041847,0.6239446689940407,1.9423022173956133,1.315432933049045,0.4712773974297951,-2.1401464890408315,1,2,1,2,1,2,1,4,4,1,2,1,1,Hypocarnivore-Invertivorous,Hypocarnivore,NA,Carnivore,0.28182999991620256,Helogale_parvula,NA,1,2,5,5
Mungotictis_decemlineata,-1.1080492150429477,-0.9150516814890047,1.8210810737999332,1.2329188396841255,1.3101186415493518,0.11774929126713238,0.40169281460352574,1.1702896031497616,-0.10717967438923534,0.0057151427870853,0.3701530249928692,0.8413871865622167,-0.5362697395216952,Eupleridae,Insectivore,-0.6328883342489334,-0.31717988686717424,1.0096144375058962,0.7001181156974164,1.2504677605862662,0.6382842018345894,0.19209389450865497,-1.5780936291305638,1,2,2,2,1,2,1,4,4,1,1,1,1,Hypocarnivore-Invertivorous,Hypocarnivore,NA,Carnivore,0.6570300002887989,Mungotictis_decemlineata,NA,1,2,5,5
Enhydra_lutris,-1.0036328875752196,-2.5086050388413788,1.8280764264797598,2.3263639587838396,-1.0634110264859438,-0.6737215947748515,-1.0709576358266042,0.13641410454002184,-0.34300799694857526,0.5130280126149522,0.5322921949641565,0.6106757393292376,0.06692872882575893,Mustelidae,Piscivore,1.9545944758291596,0.32676210985097215,-0.8532280775464208,-0.13114352552170844,-2.027462422607173,0.18787455701695,0.7428076859874921,0.8993838689841713,1,1,1,1,4,1,1,4,3,1,1,1,1,Hypocarnivore-Invertivorous,Hypocarnivore,NA,Omnivore,27.41090700328038,Enhydra_lutris,NA,2,3,3,3
Fossa_fossana,0.42926385310321596,-1.1108078265685823,2.035295492772054,-0.3924540449385119,0.34728052709069385,0.7825961176081518,0.5923239946869141,-0.3127498723216646,0.7464259235851969,0.9009803144218628,0.19253009120455647,0.35144284025480704,1.0461526906526986,Eupleridae,Carnivore,0.05665013116525505,0.05145064764054764,1.7705748162415533,1.4160848378466984,0.559994486551818,0.9814723603426214,0.6022359011813185,-0.8892542404780788,1,3,1,3,1,1,1,4,1,1,1,1,1,Hypocarnivore-Invertivorous,Hypocarnivore,NA,Omnivore,1.8539800025974962,Fossa_fossana,NA,1,2,2,2
Lycalopex_vetulus,-0.5422071292683805,-0.7164397197712785,0.8296927309143979,-1.7117175218884773,0.5004182183109083,0.010895349299369639,-0.7360570965031396,-0.8754401749827861,-0.056177671630092345,-0.8057402636584097,0.4293872263829618,-0.2510251727032405,0.8716328190105652,Canidae,Omnivore,-0.31622156384997224,0.4326045208548333,0.5196926100008519,0.6315613370977148,0.3764888356786387,0.4715815302335715,0.4485101758375615,-0.34097226935503056,1,3,2,2,1,1,1,4,1,1,4,1,1,Hypocarnivore-Invertivorous,Hypocarnivore,NA,Omnivore,4.233469996867643,Lycalopex_vetulus,NA,1,2,2,2
Ichneumia_albicauda,-1.416787988603093,-1.118899062952289,1.8448638633952785,0.28632984416214863,1.159672895432802,-1.0302405988934011,0.6450860536494041,0.3677847308025309,0.6006948968953595,0.590564905750772,-0.5117734615264726,0.31868574145683654,-0.7054277597239688,Herpestidae,Insectivore,0.4422022055146398,1.2054157126501996,1.701207707572939,1.0879102080055099,1.373275936900233,1.081326152568382,0.8290076676269722,-0.4433859086179742,1,2,1,3,1,1,2,4,4,1,2,1,1,Hypocarnivore-Omnivorous,Hypocarnivore,NA,Carnivore,3.628400000875707,Ichneumia_albicauda,NA,1,2,5,5
Otocyon_megalotis,-1.555641196674144,-0.3697700569258211,0.08299869352536401,-0.24663022785973623,0.527273217698779,-0.09553840876114124,0.06175111740090153,-0.4458994129456934,0.7559989931696074,-0.1722067824655871,1.0189798519380084,0.411705359736792,0.18763033839703078,Canidae,Insectivore,-0.2901753792717025,-0.06469321939613186,-0.037661239572230124,0.47413673128524597,0.24928100808322948,0.9391633147274883,1.231558074650817,-0.3625490849702816,1,2,2,2,1,2,2,4,2,2,3,1,2,Hypocarnivore-Omnivorous,Hypocarnivore,Insectivore,Carnivore,4.098119869004217,Otocyon_megalotis,NA,1,2,2,2
Ailuropoda_melanoleuca,0.8998542972524047,-2.5926447648209856,-1.3575859805827597,0.661284425087906,-1.1525410601210406,0.9637026996319039,0.03134043855104346,1.2149205076330194,1.1287296775489635,0.9561538328507968,1.221201403201891,-0.9839437000445067,0.026678031029999064,Ursidae,Herbivore,2.2198543029815365,3.1041154520324383,0.7205581793787309,0.8886414265824163,-2.4637658735174517,-0.2847525797951213,0.9412191908427534,1.8686988380159661,1,2,1,1,2,1,1,1,1,1,1,1,4,Hypocarnivore-Omnivorous,Hypocarnivore,Herbivore,Herbivore,117.999990033052,Ailuropoda_melanoleuca,NA,1,2,2,2
Ailurus_fulgens,-0.6157840758283926,-1.5872443542241084,-2.1978228421543253,0.43612291879740694,-0.23633634958337674,1.6267478361557808,0.46370838883592486,1.170695315243648,0.4915863214941952,0.24636911779244225,1.0935294156134034,-0.8559924466572938,-0.6978488177846036,Ailuridae,Herbivore,1.0717659038078131,1.169865589870277,1.4552261862803166,1.5303848059407916,-1.5192538431054647,0.38673922524307086,0.9180951841145402,-0.20825493308833726,1,2,2,1,1,2,1,1,2,2,2,2,4,Hypocarnivore-Omnivorous,Hypocarnivore,Herbivore,Herbivore,5.170079993338699,Ailurus_fulgens,NA,1,2,2,2
Arctictis_binturong,-1.4305672256849,0.09032089363293362,-1.3734767125708864,-0.5898437140682534,-0.13270496130846693,-1.628799563861153,-1.1075903591200276,1.1031344448551248,-0.10514446200557506,-0.10781788231754139,0.3349591497694571,-0.44219603988429074,-0.005978709476311809,Viverridae,Frugivore,0.09503398212270507,-0.22628468657759898,-0.6398522939689998,-0.26765079939452885,-1.2920086794635437,0.4964395893153107,0.5230604300006173,0.40402177903348097,1,3,3,1,2,1,3,3,3,1,4,1,3,Hypocarnivore-Omnivorous,Hypocarnivore,NA,Herbivore,12.999990010003863,Arctictis_binturong,NA,1,2,2,6
Helarctos_malayanus,-2.6581888961804543,-2.2254042842246022,0.2914209232406447,-0.031220932306262605,0.23718992707269226,-0.8106430691975427,-0.7750393659471727,0.5904387126448857,-0.24487943962447287,-0.9732150985481336,-0.6652610522689641,-0.1473062178335935,-0.11052709086787403,Ursidae,Omnivore,1.1663546793815285,2.0208466539146785,-0.8170261187596897,1.0028220005594195,-2.099536845746333,0.1464655640483885,1.2741315908991508,1.3864100118555518,1,2,1,1,2,1,1,4,4,1,4,2,2,Hypocarnivore-Omnivorous,Hypocarnivore,NA,Herbivore,57.075780082695744,Helarctos_malayanus,NA,1,2,2,6
Nandinia_binotata,0.05079735586066194,-0.6420726091086435,-0.855693157843499,-0.9225098495147372,0.8937675286366923,-0.4428931289919418,-1.0832440912239338,-0.9686935448452713,-0.8658097416107658,-0.2586430835031124,1.3739057387936826,-1.0909761078750069,-0.19471890493974392,Nandiniidae,Omnivore,-0.3504928593476953,-0.29193122012007,-0.544912057680619,-0.11502531971456775,-0.4974492947040989,0.46549077600232175,-0.13504014511487555,-0.7855981168660593,1,2,3,1,1,1,2,2,1,1,4,1,1,Hypocarnivore-Omnivorous,Hypocarnivore,NA,Herbivore,2.1672000004578247,Nandinia_binotata,NA,1,2,2,2
Arctonyx_collaris,-3.082018516629963,-1.6910785964068056,0.27034107567015975,-0.6635468303402572,0.5762689175355146,-0.4640630808104624,0.17631693771497875,0.04619179503000933,-0.39660942089855344,-0.6633680989674595,0.2720514387985191,0.4012176517932048,-1.2936365723251975,Mustelidae,Omnivore,1.0717659038078131,0.172644248026648,1.5938804875937334,0.36394408001120254,-1.7664429966929605,0.9414734430086621,0.5189305554533129,0.09530996749486689,1,1,2,2,1,1,1,4,4,2,4,2,2,Hypocarnivore-Omnivorous,Hypocarnivore,NA,Omnivore,8.166520003775952,Arctonyx_collaris,NA,1,2,2,6
Atilax_paludinosus,-0.9873781742096335,1.351430767575233,1.5684931538867588,-0.631439419406572,-0.37086324548347377,0.1489912252407231,0.19163862977542617,-0.7733952144233076,0.8123433513144686,0.059678011096137636,-0.7102001631954777,-0.1485177459263433,0.2789875612725529,Herpestidae,Omnivore,-0.12327417019779116,-0.22628468657759898,-0.3972272456764711,0.431521150284103,-1.3862743411415444,0.4191782987967901,0.22283630307005262,-0.4485743088945702,1,4,2,4,2,2,2,4,2,2,3,1,1,Hypocarnivore-Omnivorous,Hypocarnivore,NA,Omnivore,3.600160000292031,Atilax_paludinosus,NA,1,2,2,2
Bassariscus_astutus,-2.376635035935182,0.18242917461357536,-0.16228839712351836,-0.9899444262204182,-0.4002464174821121,-0.7467432439244852,-1.0339694446859733,1.3423448256683912,0.8420672853252564,-0.34506746323122245,-1.0885758383131532,0.26392674255733883,-0.28635687563967566,Procyonidae,Omnivore,-0.03759593145348344,0.4756282489918988,1.5977164567366988,1.202050983943483,0.10423581543860659,0.7196339294046148,0.375467252275688,-1.2923330658290988,1,4,2,2,2,1,2,4,4,2,4,1,3,Hypocarnivore-Omnivorous,Hypocarnivore,NA,Omnivore,1.0103700006042518,Bassariscus_astutus,NA,1,2,2,6
Cerdocyon_thous,-0.20031485432404586,1.149322342875873,-0.1299960149275211,-0.4188156355210291,-0.527548199976726,-0.73865422523473,0.3771821512983445,-0.492128790539386,0.2294668511159506,0.26849571821852797,0.8874745635836014,-0.7997655289959805,0.6305118250782271,Canidae,Carnivore,-0.11881890178308731,0.28636424305560537,0.46722462364349754,0.9137218323947954,0.2928172172140476,0.7909919803269001,0.1847325165307109,-0.13862450517662483,1,3,3,3,2,2,3,3,1,1,3,1,2,Hypocarnivore-Omnivorous,Hypocarnivore,NA,Omnivore,5.741659999265695,Cerdocyon_thous,NA,1,2,2,2
Civettictis_civetta,-1.318945471632522,1.4578770502920042,-0.4225946058657253,0.4450837735551574,-0.38886886297908363,-0.9543672242473965,0.8328602640377115,0.9528801457247186,0.6829345887358869,-0.4283796386480887,0.4725818892590875,-0.713691210648433,-0.13711634901957473,Viverridae,Omnivore,1.3246880645810093,0.907279455700393,1.1297282212949842,1.3204501500576642,0.21531897904360503,0.7404941502611634,0.5235424363275264,0.3550406223328655,1,3,3,3,2,3,3,3,3,1,3,1,3,Hypocarnivore-Omnivorous,Hypocarnivore,NA,Omnivore,12.075579993824833,Civettictis_civetta,NA,1,2,2,2
Lycalopex_sechurae,-1.2774276869775063,1.18539865127258,-0.7841131157414982,-0.1565849620680641,0.9681571267903902,0.4337612301554321,-0.647566572429529,-2.040252104630528,1.111779698866599,-0.22712776462127326,0.5670337508330815,-0.5173400520649616,0.3533131448180458,Canidae,Omnivore,-0.24322370443982197,0.08679878108649357,0.7372368133802949,0.7634390244842951,0.8925144816995274,0.7302194268430948,0.23714702415288455,-0.3408891413056828,1,3,2,2,1,3,3,3,1,3,4,1,1,Hypocarnivore-Omnivorous,Hypocarnivore,NA,Omnivore,4.234000005450541,Lycalopex_sechurae,NA,1,2,2,2
