Species,bird,carrion,egg,fish,fruit,hard_invert,herptile,large_mammal,plant,root,seed,small_mammal,soft_invert
Catopuma_temminckii,2.903985412,1.504671594,1.13703028,1.386096692,1.494619866,1.881241068,2.391444904,2.723870787,1.618441257,1.036509784,1.056626943,3.881521989,1.245398628
Cerdocyon_thous,2.387486083,2.27262631,1.741589828,1.436630725,3.133643922,2.908049113,2.127785789,1.556002168,1.734714369,1.121235174,1.446474065,3.269874076,1.713981536
Chrysocyon_brachyurus,2.224941083,2.34812067,1.564220784,1.467650835,3.135023027,2.18618462,1.770402088,2.73974489,1.972986298,1.11382094,1.331699279,3.102884717,1.3623058
Civettictis_civetta,2.03923574,1.598654287,1.679917786,1.936839975,3.732619979,3.230733862,1.914947778,1.311351094,2.030883144,1.138159934,1.394498467,2.675229389,2.449849596
Conepatus_mesoleucus,2.139300754,1.819911056,1.497701347,1.251555463,2.831596112,3.660421645,2.447299169,1.10650235,1.749808236,1.156807851,1.26498851,2.677312646,3.279822223
Crocuta_crocuta,1.948217123,2.38720007,1.297640734,1.507692448,2.044712552,2.149126475,1.805897391,3.398847891,1.395935831,1.038498767,1.061818305,2.530892784,1.531895329
Cryptoprocta_ferox,2.582922359,1.666379649,1.170215693,1.33299871,1.283955141,2.361848432,2.374651651,2.348082809,1.222123167,1.043873614,1.066834573,3.642329349,1.519547045
Cuon_alpinus,2.400869254,2.295072511,1.556848697,1.456880572,2.410002897,2.037681992,1.773421064,3.112468675,1.83967628,1.076207455,1.235057513,3.410062558,1.419771977
Cynictis_penicillata,2.362300822,1.759425834,2.188497741,1.181322809,1.893863413,3.915317407,2.74409442,1.023112027,1.422323506,1.098127481,1.557368261,3.145957543,3.525148788
Eira_barbara,2.440413378,1.987705098,1.535065164,1.867577518,2.716530878,2.863744648,2.345086535,1.558840569,1.23234341,1.106339065,1.191873458,3.552629936,2.480383201
Enhydra_lutris,1.824724749,1.688696193,1.329346762,3.418319316,1.746585398,2.901821956,1.616928286,1.465724983,1.434939317,1.239953337,1.196309261,2.25293225,2.148597396
Felis_silvestris,3.098454157,1.438408212,1.130783026,1.50175968,1.56771278,2.006081934,2.441233424,2.249590451,1.552053578,1.046068556,1.072065068,3.937865035,1.30445082
